Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InfMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsPer100
Afghanistan,AFG,34656032,72.868,580,,49.02497729,6.89624956,0.954642953,62.33541682,7.45,4.635,62,53.2,63.673,62.85485658,0.7,0.299444991,,,336198,274088,18.47423245,,,,,,
Albania,ALB,2876101,41.624,4320,,45.7458451,28.9234171,1.101507472,115.1522649,5.581,1.713,96,12,78.345,14.63400837,1.35,1.978763312,808.4558396,61.42180139,1286610,1244430,3.278382727,,,,,,
Algeria,DZA,40606052,28.696,4360,,35.27028379,21.00175849,6.424473865,115.8480539,7.676,2.776,94,21.6,76.078,37.23095588,0.17,3.717409901,1321.099494,99.97791672,5365326,4945220,7.830018157,,,,,,
American Samoa,ASM,55599,12.852,,,93.46504559,65.04559271,,,,,,,,3.763411508,,,,,1650845.6,2067791,-25.25647462,,,,,,
Andorra,AND,77281,15.388,,,,,,92.04332242,,,97,2.4,,10.87947242,,5.832169951,,,147772,168760,-14.20296132,,,,,,
Angola,AGO,28813463,55.181,3450,,29.41716772,30.01703712,2.96239158,45.12169884,7.618,5.694,49,54.6,61.547,36.24047917,0.82,1.291328315,545.0404908,48.27955153,113216,114170,-0.842637083,,,,,,
Antigua and Barbuda,ATG,100963,76.607,13560,,47.02969952,41.70058538,,178.2831334,4.125,2.051,98,5.1,76.364,15.68594257,,5.377648546,,,645194,705036,-9.275039755,,,,,,
Argentina,ARG,43847430,8.107,11940,30.9,13.53808142,12.58383239,0.813140098,145.3305063,3.051,2.293,90,9.9,76.577,14.14816717,1,4.746797455,2015.18704,88.54251659,1108906,916944,17.31093528,6.36,2.58,1.57,0.05,2.57,10.2
Armenia,ARM,2924816,37.442,3770,25.3,42.76987508,33.14800495,4.090349217,117.428481,3.758,1.612,97,11.9,74.618,26.97289332,0.67,1.90275891,1018.07124,74.56186571,79016,92432,-16.97883973,,,,,,
Aruba,ABW,104822,58.696,,,,,,,3.625,1.8,,,75.867,,,8.408362638,,,249204,249596,-0.157300846,,,,,,
Australia,AUS,24210809,10.446,54130,,21.51844657,19.25302663,2.138763223,110.0520902,2.881,1.809,95,3.1,82.5,6.126806421,0.92,15.37013776,5328.223992,93.38683566,63372,61916,2.297544657,0.93,0.16,0.74,0.02,0.02,21.7
Austria,AUT,8736668,33.968,45850,,48.90517868,52.26183404,0.73864216,163.7944858,2.66,1.49,95,2.9,80.8902439,14.96518831,1.15,6.86986793,3763.327903,64.89638632,689984,661316,4.154878954,2.63,0.1,2.43,0.01,0.04,30.4
Azerbaijan,AZE,9757812,45.105,4760,,43.64966934,46.42764939,3.688527303,104.7671576,5.663,1.94,98,27.2,72.026,32.97762008,0.35,3.931560609,1502.078168,98.36599003,3510,3754,-6.951566952,0.3,0.27,0.01,0.02,,3.5
"Bahamas, The",BHS,391232,17.049,27850,,37.67780518,35.80852789,,92.06813349,3.893,1.767,89,8.6,75.675,12.79114179,,6.323257512,,,8090773.4,8149715.2,-0.728506375,,,,,,
Bahrain,BHR,1425171,11.165,21350,,65.58715438,73.96638877,4.682453486,210.140748,7.099,2.033,99,6.5,76.9,79.69099954,0.32,23.44975483,10593.99714,99.99817768,9770,9770,0,,,,,,
Bangladesh,BGD,162951560,64.965,1330,26.8,21.30458385,16.64971688,1.468522885,83.44924467,6.901,2.104,94,28.2,72.489,101.0171569,0.84,0.459141965,222.2209592,73.76893795,150764.7,183837.4,-21.93663371,,,,,,
Barbados,BRB,284996,68.585,15210,,46.21388591,36.40608958,,116.5658465,3.807,1.797,92,11.4,75.906,18.41481258,,4.490177673,,,11682,12502,-7.019346002,3.12,3.12,,,,7.8
Belarus,BLR,9501534,22.954,5620,22.9,62.69997578,62.50934712,1.264152334,120.6731574,2.29,1.733,98,2.9,73.82682927,19.79873107,0.62,6.701957705,2928.520216,92.44037502,98464,116126,-17.93752031,0.23,0.14,,0.09,,7.3
Belgium,BEL,11331422,2.103,42640,,81.60692689,82.93777574,0.922925653,110.4983466,2.52,1.7,96,3.1,80.99268293,16.04343237,1.32,8.328159898,4708.221218,72.44669039,28484,31270,-9.780929645,1.82,0.33,1.33,0.02,0.14,17.2
Belize,BLZ,366954,56.155,4480,,60.50552849,49.69311053,1.201035481,61.86061468,6.379,2.51,95,12.8,70.384,20.18159894,1,1.407601494,,,3028844,3098200,-2.289850517,,,,,,
Benin,BEN,10872298,55.605,820,,42.60844357,28.70623522,0.928155526,81.7903446,6.588,4.977,74,63.1,60.907,95.96032285,0.72,0.614213852,416.7957653,44.38226567,13500,13500,0,,,,,,
Bermuda,BMU,65341,0,,,,,,,,1.61,,,81.22707317,10.47401764,,8.838314988,,,7810,7724.6,1.09346991,,,,,,
Bhutan,BTN,797765,60.623,2510,,53.09315853,29.71799703,,87.54119321,6.67,2.051,97,26.8,70.197,55.79888972,0.82,1.289321371,,,16318,19484,-19.40188749,,,,,,
